company_number,total_filings,first_filing,last_filing,avg_days_between_filings,max_gap_days
00000006,25,2015-04-21,2018-07-10,49.0,382.0
00048839,25,2026-06-05,2026-07-10,1.4583333333333333,15.0
00102498,25,2026-01-09,2026-06-29,7.125,46.0
00445790,25,2026-01-06,2026-07-03,7.416666666666667,59.0
03977902,25,2018-04-20,2026-06-01,123.5,365.0
